"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"103",9.68754104420096e-56,2.75393372755399,0.165,0.007,2.52389506824568e-51,"5","IL17F"
"104",1.19909149785307e-52,1.23999887484928,0.711,0.237,3.1239930793566e-48,"5","CCR6"
"105",1.0353767215641e-45,1.05601789774414,0.427,0.099,2.69746697269095e-41,"5","GNA15"
"106",8.57426592775213e-42,1.72406948495531,0.193,0.02,2.23385350215726e-37,"5","TRDV1"
"107",7.7427317250053e-37,1.04858325741078,0.849,0.45,2.01721389631563e-32,"5","RORA"
"108",1.04119442632988e-30,0.890448314411506,0.633,0.249,2.71262383891724e-26,"5","KLRB1"
"109",7.2101048251096e-29,0.957361170188426,0.638,0.283,1.8784486100858e-24,"5","CCDC107"
"110",8.423639913997e-29,2.4218918949539,0.133,0.014,2.19461090679364e-24,"5","IL17A"
"111",3.29827014257763e-26,1.54312423144681,0.193,0.034,8.5929832024575e-22,"5","TRBV9"
"112",1.29955430428119e-24,0.939181226689998,0.619,0.29,3.38572882894378e-20,"5","PDE4D"
"113",7.11434457668109e-24,0.897720861092968,0.422,0.151,1.85350019256272e-19,"5","LMO4"
"114",5.28468145224466e-20,0.952233799019336,0.555,0.264,1.3768180587533e-15,"5","ANKRD28"
"115",5.54432874712003e-20,0.95951512337289,0.904,0.672,1.44446396848718e-15,"5","LMNA"
"116",1.11788483178836e-19,0.938131472227073,0.665,0.373,2.91242535225821e-15,"5","CDKN1A"
"117",4.84689895627051e-19,1.11741432559053,0.514,0.254,1.26276258507716e-14,"5","PLIN2"
"118",4.23502099520411e-17,1.17836545613805,0.587,0.333,1.10335001988053e-12,"5","ATP1B3"
"119",8.97077154836626e-15,0.927867469761692,0.555,0.314,2.33715511149586e-10,"5","AHR"
"120",1.68779611577949e-09,0.990278690333941,0.119,0.035,4.39721522044031e-05,"5","TRAV12-2"
"121",0,2.67408102120766,0.847,0.015,0,"6","TRAV1-2"
"122",2.39406670920214e-141,2.70483896879762,0.418,0.017,6.23726199748434e-137,"6","TRBV4-2"
"123",2.27249215837147e-138,2.07111816771872,0.698,0.084,5.9205238202052e-134,"6","NCR3"
"124",6.13888600878235e-122,2.52217751056573,0.937,0.23,1.59936397186807e-117,"6","KLRB1"
"125",3.93735480092496e-114,1.88593842646063,0.37,0.019,1.02579904628498e-109,"6","TRAV6"
"126",1.49362995963375e-101,1.36641116976703,0.386,0.027,3.89135413383381e-97,"6","TMIGD2"
"127",1.27564573556449e-61,2.00258434543787,0.571,0.128,3.32343983486618e-57,"6","CEBPD"
"128",5.69157077802528e-49,1.2714393961936,0.593,0.161,1.48282493479893e-44,"6","CTSH"
"129",2.13160731531726e-41,0.968922680140615,0.243,0.03,5.55347653859605e-37,"6","TRGV9"
"130",3.79788737763009e-40,1.2356042704858,0.27,0.041,9.89463598493966e-36,"6","IL4I1"
"131",2.33857477324899e-38,1.37125639634185,0.921,0.53,6.09268885674559e-34,"6","LTB"
"132",1.87845492778461e-37,0.963306696486558,0.889,0.424,4.89393862335724e-33,"6","CTSW"
"133",8.29964477775606e-29,0.977618418334332,0.492,0.167,2.16230645394879e-24,"6","PTMS"
"134",3.39800762247406e-28,1.82448576737529,0.28,0.061,8.85282925883167e-24,"6","CCL20"
"135",6.56232797156363e-28,1.05851968925348,0.698,0.325,1.70968330643147e-23,"6","GPR65"
"136",8.39715074482045e-24,1.40301133568713,0.423,0.146,2.18770968354807e-19,"6","LAG3"
"137",2.39576749299229e-19,0.949386431332996,0.111,0.014,6.2416930494928e-15,"6","TRBV6-2"
"138",3.23563827964517e-15,1.38714236735263,0.534,0.307,8.42980840995956e-11,"6","MT2A"
